Gene dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP
ACCSL 0 0 2.35512e-06 1.32625408913575e-06 0.249787293290582 0.00749966795382635
ACD 0 0 5.34518e-08 1.48590868571679e-06 0.337520123678254 0.010107154159789
ACE 0 0 1.51566e-05 3.61323689573773e-06 0.00577022416790502 0.000174525108359128
ACER1 0 0 1.98982e-06 5.6922839064614e-07 0.460857144772035 0.0137497400743578
ACER2 0 0 2.81609e-06 7.01400982045525e-07 0.361354962014251 0.0108131786252747
ACER3 0 0 1.36298e-06 1.08740154073676e-06 0.354519277033478 0.0106107981735259
ACHE 0 0 7.03621e-06 1.60267011040443e-06 0.0906237452471829 0.00273397201171636
ACIN1 0 0 2.24629e-07 4.5328501450693e-06 0.0379123722262089 0.00114557674670223
ACLY 0 0 1.74155e-05 3.30724220304839e-06 0.00503951908911139 0.000152427709576987
ACMSD 0 0 3.19945e-06 9.97405189629315e-07 0.272530666490648 0.00817693629409925
ACN9 0 0 8.07955e-07 2.88079906639658e-07 0.699596039251719 0.0207249300493026
ACO1 0 0 1.15125e-05 2.76998963797752e-06 0.0187274277587108 0.000566204340326394
ACO2 0 0 1.06654e-05 1.77604202362486e-06 0.0436698443211495 0.0013193175083562
ACOT1 0 0 4.2143e-06 6.94083031628055e-07 0.283918250295815 0.00851569671598823
ACOT11 0 0 6.74704e-06 2.11804333884706e-06 0.0658269378226302 0.0019873791032307
ACOT12 0 0 4.47185e-06 1.76907547809255e-06 0.125090291150181 0.00376985213629883
ACOT13 0 0 1.32983e-06 3.58778111867517e-07 0.604644184896744 0.0179625895265031
ACOT2 0 0 4.39283e-06 9.23944898800755e-07 0.233011963346074 0.00699952722848264
ACOT4 0 0 3.772e-06 6.75251025146635e-07 0.311037572083282 0.00932151743642709
ACOT6 0 0 1.11306e-06 2.55517006761464e-07 0.677861597767208 0.0200940037495876
ACOT7 0 0 4.35907e-06 1.03645695117195e-06 0.216089947069746 0.00649450223557243
ACOT8 0 0 3.36146e-06 1.11399425662309e-06 0.243459564717173 0.00731107185129337
ACOX1 0 0 6.93109e-06 1.96281298882024e-06 0.0712779820552262 0.0021515973226321
ACOX2 0 0 5.16846e-06 1.57184239381381e-06 0.127659580841292 0.00384698506845248
ACOX3 0 0 6.34354e-06 2.08588482549042e-06 0.0721623395215382 0.00217823439061113
ACOXL 0 0 1.92829e-06 1.59458702600992e-06 0.222307678156503 0.00668012548358879
ACP1 0 0 7.7609e-07 7.25419484732265e-07 0.512189164278783 0.0152578709537263
ACP2 0 0 4.85377e-06 1.0877975444261e-06 0.191027494947753 0.00574558746707267
ACP5 0 0 2.70664e-06 8.36430362366985e-07 0.334128693606124 0.0100066128870165
ACP6 0 0 7.09172e-07 9.9083762864852e-07 0.42787146826674 0.012778183033638
ACPL2 0 0 4.28481e-06 9.3427982587791e-07 0.235685062806529 0.00707925693949104
ACPP 0 0 2.92213e-06 1.18512761032634e-06 0.249984124905036 0.00750553331341157
ACPT 0 0 3.45725e-06 1.05274179141276e-06 0.250198407029389 0.00751191859964739
ACR 0 0 6.92898e-07 1.20732629378004e-06 0.367072112632458 0.0109823796611243
ACRBP 0 0 2.09221e-06 1.63508787446513e-06 0.209691251155701 0.00630340404222311
ACRV1 0 0 3.78274e-07 6.65146875483265e-07 0.575209360149886 0.01710310416734
ACSBG1 0 0 6.79306e-06 1.60659308264905e-06 0.0941868545791674 0.00284115985934018
ACSBG2 0 0 1.04146e-10 1.73598905609837e-06 0.284833187332252 0.00854290442719524
ACSF2 0 0 6.08774e-06 1.84173222358415e-06 0.0897779797845314 0.00270852574291088
ACSF3 0 0 4.36809e-06 1.60309637543282e-06 0.14347812662753 0.00432161237727685
ACSL1 0 0 6.96701e-06 2.47098679482337e-06 0.049307882236822 0.00148939559282384
