Gene dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof BF PP
ACVR1B 0 0 6.33635e-06 1.55255940702862e-06 0.743661959994133 0.0115636610765583
ACVR1C 0 0 4.02102e-06 1.45011208237514e-06 0.811138087908916 0.0125996693140428
ACVR2A 0 0 3.17204e-06 1.30009523550187e-06 0.841728736876651 0.0130686338421401
ACVR2B 0 0 3.95202e-06 1.42437629630485e-06 0.814084326012325 0.0126448554898317
ACVR2B-AS1 0 0 1.04146e-10 4.87636802626346e-08 0.9977714848115 0.0154539045754729
ACVRL1 0 0 2.94548e-06 1.14730806534261e-06 0.854473510244256 0.0132638839026345
ACY1 0 0 4.5929e-06 1.07529597118283e-06 0.808536181514748 0.0125597606819748
ACY3 0 0 1.99288e-06 7.9149890819815e-07 0.898400833662949 0.0139362593391331
ACYP1 0 0 1.04146e-10 2.8690970118746e-07 0.986978561797479 0.0152892950827419
ACYP2 0 0 1.04146e-10 2.59509493065367e-07 0.98821427177933 0.0153081444442545
ADA 0 0 4.1246e-06 1.0782123812045e-06 0.821988186699346 0.0127660558285183
ADAD1 0 0 2.74837e-06 1.52143651727784e-06 0.845922566914586 0.0131328918912285
ADAD2 0 0 3.04772e-06 1.28427635698416e-06 0.846068394280362 0.0131351261140325
ADAL 0 0 1.4439e-06 9.27689519142255e-07 0.910456362300298 0.0141206275801323
ADAM10 0 0 4.30156e-06 2.08528914115222e-06 0.78016494889688 0.0121243867979146
ADAM11 0 0 9.11841e-06 2.86735014497929e-06 0.634686115479223 0.00988588002723427
ADAM12 0 0 6.65018e-06 2.49079188328926e-06 0.704637422420481 0.0109634971702427
ADAM15 0 0 2.85672e-06 3.18542626451958e-06 0.781120240161336 0.0121390525713643
ADAM17 0 0 4.79118e-06 2.09247957248535e-06 0.7664653733558 0.0119140209686724
ADAM18 0 0 2.2436e-06 1.70984254684415e-06 0.853882480036994 0.0132548310219781
ADAM19 0 0 6.9063e-06 2.86255419323663e-06 0.686540860900656 0.010684940162719
ADAM2 0 0 1.04146e-10 1.80480735297625e-06 0.920927621666341 0.0142807112514728
ADAM20 0 0 2.87414e-07 1.07698298190392e-06 0.942314598324549 0.0146075119540788
ADAM20P1 0 0 1.04146e-10 4.50806975691114e-08 0.99793934144313 0.015456464225367
ADAM21 0 0 1.04146e-10 1.08129722625246e-06 0.951829540339775 0.0147528340562066
ADAM22 0 0 6.44518e-06 3.24793035450025e-06 0.685710853194959 0.0106721602449686
ADAM23 0 0 5.53767e-06 2.58205836449295e-06 0.729951758999573 0.0113528929627658
ADAM28 0 0 1.04146e-10 2.0248585404225e-06 0.911733339693891 0.0141401526794498
ADAM29 0 0 1.04146e-10 1.31959019225351e-06 0.941536715939957 0.0145956294286556
ADAM30 0 0 1.2737e-06 1.33253794244754e-06 0.899225992895378 0.0139488809058351
ADAM32 0 0 1.04146e-10 2.37157540780005e-06 0.897436145271978 0.01392150313638
ADAM33 0 0 1.04146e-10 2.46118274613979e-06 0.893778415872855 0.0138655492474406
ADAM3A 0 0 1.04146e-10 1.33606643600121e-06 0.940829249629998 0.0145848222936072
ADAM5 0 0 1.04146e-10 7.3563104827814e-07 0.96696454830333 0.0149839033620187
ADAM6 0 0 1.04146e-10 4.58183085831982e-08 0.997905721575195 0.0154559515562419
ADAM7 0 0 3.25813e-06 2.02412610987235e-06 0.811898235781364 0.0126113280261156
ADAM8 0 0 1.04146e-10 2.65024538401348e-06 0.886110754562857 0.0137482330627069
ADAM9 0 0 5.94036e-06 2.39809178375764e-06 0.725656686263971 0.0112868459440553
ADAMDEC1 0 0 1.70766e-06 1.37795190785941e-06 0.88360399024835 0.0137098731979361
ADAMTS1 0 0 1.04146e-10 1.94885626384406e-06 0.914898274714214 0.014188541487286
ADAMTS10 0 0 6.78328e-06 3.11987698326706e-06 0.681504946400585 0.010607395357043
ADAMTS12 0 0 1.30147e-05 3.48183241027949e-06 0.537847297986203 0.00839017264301991
ADAMTS13 0 0 1.04146e-10 3.43310139447326e-06 0.855068178890401 0.0132729923460496
ADAMTS14 0 0 1.2091e-05 3.55061671958489e-06 0.553916085590183 0.00863867298431621
ADAMTS15 0 0 1.04146e-10 1.99523857459881e-06 0.912965463459781 0.014158991229666
ADAMTS16 0 0 1.1942e-05 3.31852181375776e-06 0.562751576608595 0.00877525888797627
ADAMTS17 0 0 7.9134e-06 3.70568362278841e-06 0.637525075021903 0.00992966061538167
ADAMTS18 0 0 1.14965e-05 4.43437945546521e-06 0.543357140521698 0.00847539520566516
ADAMTS19 0 0 5.18424e-06 3.64926335572016e-06 0.704093076397628 0.0109551204413963
ADAMTS2 0 0 1.21562e-05 2.97937545714288e-06 0.567209869511649 0.00884416436718138
ADAMTS20 0 0 1.16776e-05 6.130212531619e-06 0.499836503760894 0.00780184769616261
ADAMTS3 0 0 9.74967e-06 3.2260010039693e-06 0.61061873064145 0.00951457286154175
ADAMTS4 0 0 5.2371e-06 1.70492149995606e-06 0.767878997470285 0.0119357322252361
ADAMTS5 0 0 7.50061e-06 1.76626192261098e-06 0.706681961343321 0.0109949585157977
ADAMTS6 0 0 8.80036e-06 3.29580022783831e-06 0.629461742834693 0.00980530302966303
ADAMTS7 0 0 1.32416e-05 4.07270131687227e-06 0.519403181816885 0.00810478474655975
ADAMTS8 0 0 8.91828e-06 1.69987861951187e-06 0.674132280016626 0.0104938464847303
ADAMTS9 0 0 1.92315e-05 6.25531289339005e-06 0.381047880187518 0.00595874830547491
ADAMTS9-AS2 0 0 1.04146e-10 2.27755414518583e-07 0.989648308584822 0.0153300181530556
ADAMTSL1 0 0 3.1137e-06 4.49738914796823e-06 0.729143160490703 0.011340459500474
ADAMTSL2 0 0 1.53207e-06 2.49733846031359e-06 0.844901792546478 0.0131172523117504
ADAMTSL3 0 0 6.74565e-06 4.65195769123906e-06 0.636446451726494 0.00991302724432228
ADAMTSL4 0 0 1.04146e-10 3.09581635316327e-06 0.86830427061557 0.0134756839044608
ADAMTSL5 0 0 3.25916e-06 1.49688350467421e-06 0.831626066961194 0.0129138059230471
ADAP1 0 0 4.31954e-06 1.39414833549323e-06 0.804632993928238 0.0124998866529925
ADAP2 0 0 3.88898e-06 1.3613670357346e-06 0.818258584050068 0.0127088686113103
ADAR 0 0 6.39505e-06 2.701856755079e-06 0.704233257344449 0.0109572776449322
ADARB1 0 0 7.70205e-06 1.31457718189637e-06 0.716264286659391 0.0111423845770546
