geneName dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof dn_damaging_ID dn_lof_ID dn_damaging_DD dn_lof_DD dn_damaging_ASD dn_lof_ASD dn_silentCFPK_SCZ dn_damaging_SCZ dn_lof_SCZ mut_silentCFPK dn_lof_CHD dn_damaging_CHD
ABTB2 0 0 6.10082e-06 2.28475492246088e-06 0 0 0 0 0 0 0 0 0 1.00864e-05 0 0
ACAA1 0 0 6.29999e-06 1.17536938753252e-06 0 0 0 0 0 0 0 0 0 3.2016e-06 0 0
ACAA2 0 0 3.9655e-06 1.04229216503248e-06 0 0 0 0 0 0 0 0 0 4.60013e-08 0 0
ACACA 0 0 1.04146e-10 7.5111699642272e-06 0 0 0 0 0 0 0 0 0 2.36968e-07 0 0
ACACB 0 0 3.12375e-05 6.33097959654995e-06 0 0 1 0 1 1 0 0 0 1.33894e-06 0 0
ACAD10 0 0 7.32102e-06 3.3150685378845e-06 0 0 0 0 0 0 0 0 0 6.46754e-07 0 0
ACAD11 0 0 1.04146e-10 2.37567914617692e-06 0 0 0 0 0 0 0 0 0 1.00011e-06 0 0
ACAD8 0 0 4.81218e-06 1.51720082185174e-06 0 0 0 0 0 0 0 0 0 1.12714e-06 0 0
ACAD9 0 0 5.51181e-06 1.69543367397921e-06 0 0 1 0 0 0 0 0 0 1.17917e-06 0 0
ACADL 0 0 2.55187e-06 1.41676582864237e-06 0 0 0 0 0 0 0 0 0 1.01182e-06 0 0
ACADM 0 0 3.90498e-06 1.35195578692763e-06 0 0 0 0 0 0 0 0 0 2.59363e-07 0 0
ACADS 0 0 6.55382e-06 9.70502362154595e-07 0 0 0 0 0 0 0 0 0 1.33878e-06 0 0
ACADSB 0 0 3.08118e-06 1.04887960566711e-06 0 0 0 0 0 0 0 0 0 2.57155e-07 0 0
ACADVL 0 0 6.54345e-06 1.76893232505997e-06 0 0 0 0 0 0 0 0 0 1.01821e-05 0 0
ACAN 0 0 1.04146e-10 3.5806626085595e-06 0 0 0 0 0 0 0 0 0 6.27511e-07 0 0
ACAP1 0 0 5.36361e-06 2.52470464880402e-06 0 0 0 0 0 0 0 0 0 8.11954e-06 0 0
ACAP2 0 0 4.90941e-06 2.80897471730203e-06 0 0 0 0 0 0 0 0 0 2.93501e-07 0 0
ACAP3 0 0 8.35266e-06 2.08661212157331e-06 0 0 0 0 0 0 0 0 0 1.80967e-05 0 0
ACAT1 0 0 3.85842e-06 9.49637066676745e-07 0 0 0 0 0 0 0 0 0 5.2531e-07 0 0
ACAT2 0 0 3.69329e-06 7.6272411166732e-07 0 0 0 0 0 0 0 0 0 7.77173e-07 0 0
ACBD3 0 0 2.84665e-06 1.69483453639695e-06 0 0 0 0 0 0 0 0 0 3.85824e-06 0 0
ACBD4 0 0 1.46977e-06 1.84337602067363e-06 0 0 0 0 0 0 0 0 0 1.47182e-06 0 0
ACBD5 0 0 2.67845e-06 1.48508058227357e-06 0 0 0 0 0 0 0 0 0 1.39675e-06 0 0
ACBD6 0 0 7.70485e-07 7.947245843371e-07 0 0 0 0 0 0 0 0 0 1.73144e-06 0 0
ACBD7 0 0 1.04146e-10 2.5689822851216e-07 0 0 0 0 0 0 0 0 0 3.98175e-08 0 0
ACCS 0 0 3.44536e-06 1.22391352155694e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACCSL 0 0 2.35512e-06 1.32625408913575e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACD 0 0 5.34518e-08 1.48590868571679e-06 0 0 0 0 0 0 0 0 0 1.02151e-05 0 0
ACE 0 0 1.51566e-05 3.61323689573773e-06 0 0 0 0 0 0 0 0 0 5.91292e-06 0 0
ACER1 0 0 1.98982e-06 5.6922839064614e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 1
ACER2 0 0 2.81609e-06 7.01400982045525e-07 0 0 0 0 0 0 0 0 0 9.79887e-07 0 0
ACER3 0 0 1.36298e-06 1.08740154073676e-06 0 0 0 0 0 0 0 0 0 1.06508e-06 0 0
ACHE 0 0 7.03621e-06 1.60267011040443e-06 0 0 0 0 1 0 0 0 0 3.68993e-06 0 0
ACIN1 0 0 2.24629e-07 4.5328501450693e-06 0 0 0 0 0 0 0 0 0 3.04979e-06 0 0
ACLY 0 0 1.74155e-05 3.30724220304839e-06 0 0 0 0 1 0 0 0 0 8.47788e-07 0 0
ACMSD 0 0 3.19945e-06 9.97405189629315e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACN9 0 0 8.07955e-07 2.88079906639658e-07 0 0 0 0 0 0 1 0 0 1.4643e-06 0 0
ACO1 0 0 1.15125e-05 2.76998963797752e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACO2 0 0 1.06654e-05 1.77604202362486e-06 0 0 0 0 0 0 0 0 0 7.83367e-06 0 0
ACOT1 0 0 4.2143e-06 6.94083031628055e-07 0 0 0 0 0 0 0 0 0 6.57304e-06 0 0
ACOT11 0 0 6.74704e-06 2.11804333884706e-06 0 0 0 0 0 0 0 0 0 7.73809e-07 0 0
ACOT12 0 0 4.47185e-06 1.76907547809255e-06 0 0 0 0 0 0 0 0 0 1.75354e-06 0 0
ACOT13 0 0 1.32983e-06 3.58778111867517e-07 0 0 0 0 0 0 0 0 0 1.95566e-07 0 0
ACOT2 0 0 4.39283e-06 9.23944898800755e-07 0 0 0 0 0 0 0 0 0 6.86104e-06 0 0
ACOT4 0 0 3.772e-06 6.75251025146635e-07 0 0 0 0 0 0 0 0 0 5.46214e-06 0 0
ACOT6 0 0 1.11306e-06 2.55517006761464e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACOT7 0 0 4.35907e-06 1.03645695117195e-06 0 0 0 0 0 0 0 0 0 3.55047e-06 0 0
ACOT8 0 0 3.36146e-06 1.11399425662309e-06 0 0 0 0 0 0 0 0 0 1.42504e-06 0 0
ACOX1 0 0 6.93109e-06 1.96281298882024e-06 0 0 0 0 0 0 0 0 0 9.26098e-07 0 0
ACOX2 0 0 5.16846e-06 1.57184239381381e-06 0 0 0 0 0 1 0 0 0 1.08469e-06 0 0
ACOX3 0 0 6.34354e-06 2.08588482549042e-06 0 0 0 0 0 0 0 0 0 3.21524e-06 0 0
ACOXL 0 0 1.92829e-06 1.59458702600992e-06 0 0 0 0 0 0 0 0 0 1.80812e-06 0 0
ACP1 0 0 7.7609e-07 7.25419484732265e-07 0 0 0 0 0 0 0 0 0 3.1597e-07 0 0
ACP2 0 0 4.85377e-06 1.0877975444261e-06 0 0 0 0 0 0 0 0 0 1.001e-06 0 0
ACP5 0 0 2.70664e-06 8.36430362366985e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACP6 0 0 7.09172e-07 9.9083762864852e-07 0 0 0 0 0 0 0 0 0 1.78143e-06 0 0
ACPL2 0 0 4.28481e-06 9.3427982587791e-07 0 0 0 0 0 0 0 0 0 6.01401e-07 0 0
ACPP 0 0 2.92213e-06 1.18512761032634e-06 0 0 0 0 0 0 0 0 0 6.0414e-07 0 0
ACPT 0 0 3.45725e-06 1.05274179141276e-06 0 0 0 0 0 0 0 0 0 4.67695e-06 0 0
ACR 0 0 6.92898e-07 1.20732629378004e-06 0 0 0 0 0 0 0 0 0 5.48078e-06 0 0
ACRBP 0 0 2.09221e-06 1.63508787446513e-06 0 0 0 0 0 0 0 0 0 4.46538e-06 0 0
ACRV1 0 0 3.78274e-07 6.65146875483265e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSBG1 0 0 6.79306e-06 1.60659308264905e-06 0 0 0 0 0 0 0 0 0 5.90473e-07 0 0
ACSBG2 0 0 1.04146e-10 1.73598905609837e-06 0 0 0 0 0 0 0 0 0 2.50728e-07 0 0
ACSF2 0 0 6.08774e-06 1.84173222358415e-06 0 0 0 0 0 0 0 0 0 1.93533e-06 0 0
ACSF3 0 0 4.36809e-06 1.60309637543282e-06 0 0 0 0 0 0 0 0 0 8.66932e-06 0 0
